,RMSE,MAE,R2
Andhra Pradesh,17.527244342415834,15.288213410200898,-0.198403328516487
Arunachal Pradesh,0.23449310574582885,0.15964322403658518,-0.025083634144474454
Assam,4.477475099202494,3.388206113641828,-0.03177187902797618
Bihar,17.269291524542954,12.504670533879088,-0.3423441778844396
Chandigarh,1.309732511351852,1.0558155972364796,-0.02467122489754936
Chhattisgarh,9.041705951939706,7.605624487144143,0.04643524365504326
DNH,4.637065491468032,2.0142359139918247,-0.06101529354173496
Delhi,29.212639212599456,24.857693499654932,-0.02319989688696289
Goa,1.6351347514307801,1.2717527792592167,-0.04269338963574176
Gujarat,39.91623827028152,30.44878984024828,0.001968375973929959
HP,4.665517153459569,2.7764047951409405,-0.013535842225823602
Haryana,43.67488385643645,35.55268144857985,-0.03091429287330194
J&K,5.634885045052849,4.078434961322958,-0.025543210534371807
Jharkhand,1.9979136616744357,1.4897220071852673,-0.0593272225849637
Karnataka,30.247489576923314,25.981161881631404,-0.08385078789464795
Kerala,7.905660505131095,6.604752037077112,-0.0519609912273431
MP,30.606172086027186,25.27648819061103,-0.032476729970768003
Maharashtra,45.0353262295896,40.00798622647371,-0.06425391246690815
Manipur,0.19969902346687932,0.15746485254742087,-0.007514775506263671
Meghalaya,0.8038657560178062,0.5546797441955481,-0.05684797561002175
Mizoram,0.1583843129499077,0.11915597607919022,-0.02915243440468962
Nagaland,0.13470221737227053,0.1081636374266103,0.010055418210399791
Odisha,11.197837333372428,9.173908871381013,-0.0902001078362431
Pondy,1.2064822682397205,0.9433379456758395,-0.02316861639689538
Punjab,64.50354002904707,50.2937605501485,-0.01807514608881733
Rajasthan,34.56835725256051,25.339319108537797,-0.5514321453911564
Sikkim,0.4657906664216007,0.38988042177935894,-0.9926771856863097
Tamil Nadu,38.477874341331116,32.352930723228596,-0.04325357603672453
Telangana,31.10511099411995,27.445996543759524,-0.5592070757483281
Tripura,0.7043181141817418,0.5747618164553764,-0.09133583958622826
UP,76.19750079732569,58.72045982049991,-0.22878206603680362
Uttarakhand,6.996891534352459,5.289278379071611,-0.04769033264591349
West Bengal,27.51589281633694,22.881605461562057,-0.11456859604925707
